Pitcher,PitchType,#,# RHB,# LHB,%,MPH,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Spin,Whiff %,Put Away %
Brayden Zilis,Slider,8,8,0,44.4,79.47,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,75.69,45.52,2691.0,0.0,33.33
Nolan Bowles,Fastball,117,78,36,76.5,81.89,8,7,1,0,0,1,20,0.4,0.41,0.45,0.453,0.419,0.495,78.09,23.71,2097.0,3.42,7.14
Nolan Bowles,Slider,10,1,8,6.5,70.3,1,0,1,0,0,0,1,1.0,,2.0,,0.052,,91.56,19.76,2025.0,0.0,0.0
Nolan Bowles,Changeup,11,6,5,7.2,70.03,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.019,0.0,80.32,33.82,1498.0,18.18,33.33
Nolan Bowles,Cutter,1,0,0,0.7,73.52,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,2009.0,0.0,NaN
Nolan Bowles,Curveball,9,6,3,5.9,69.14,2,2,0,0,0,0,2,1.0,0.833,1.0,0.875,0.066,0.78,77.23,18.12,2041.0,0.0,0.0
Nolan Bowles,Sinker,5,3,2,3.3,77.83,1,1,0,0,0,0,1,1.0,0.75,1.0,0.688,0.023,0.668,76.04,12.75,2047.0,20.0,NaN
Benedict Hendrickson,Fastball,22,18,4,64.7,76.84,0,0,0,0,0,0,2,0.0,,0.0,,0.298,,63.42,20.83,1784.0,4.55,0.0
Benedict Hendrickson,Curveball,12,12,0,35.3,69.21,0,0,0,0,0,1,0,0.0,,0.0,,0.203,,100.98,18.43,2000.0,8.33,50.0
Mitchell Wilson,Fastball,135,103,31,78.5,81.06,5,5,0,0,0,5,21,0.208,0.254,0.208,0.378,0.284,0.369,78.81,23.43,1640.0,4.44,17.86
Mitchell Wilson,Slider,15,10,5,8.7,72.99,1,1,0,0,0,1,1,0.5,0.458,0.5,0.5,0.023,0.402,80.84,13.7,1658.0,0.0,14.29
Mitchell Wilson,Changeup,7,6,0,4.1,73.96,0,0,0,0,0,0,0,0.0,,0.0,,0.018,,,,1544.0,0.0,0.0
